Product,Consumer complaint narrative
Credit card or prepaid card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Vehicle loan or lease,M & T auto finance used deceptive sales tactics and also broke rules upon repossession of car and not sending out notice of selling vehicle and defenciency balance owed.
"Money transfer, virtual currency, or money service",Coinbase ( and its subsidiary XXXX ) have submitted a 1099-K showing an incorrect amount of gains to the IRS on my behalf. I have tried contacting them multiple times via their support email address and each time they have ignored the problem or otherwise not fixed it.
Credit card,"I consistently make on-time payments. I'm confident about this. What I'm unsure about is why this company is reporting me as late in certain months, which shouldn't happen. According to USC 1666b, any billing errors should be corrected, otherwise, they will owe me {$1000.00} for each account reporting inaccurately."
"Money transfer, virtual currency, or money service","I left my banking information on paypal and my account was hacked, paypal doesnt have any trace of what happened and were very reluctant to help me get my money back."
"Payday loan, title loan, personal loan, or advance loan",I was charged late fees from the start of my loan and i was not late and then they have took double payments and chargen me very high interest rates and i am a XXXX veteran on a fixed income
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Credit reporting or other personal consumer reports,My account shows an inaccurate balance. This account is fully paid off and should reflect a {$0.00} balance. This is killing my XXXX and making it hard to obtain financing.
"Credit reporting, credit repair services, or other personal consumer reports",Around about XX/XX/XXXX XXXX  2020 my car was stolen with all my identification in it. Every since then my credit has been poor. I cant even open a checking account. Or do any thing with credit.
Credit reporting or other personal consumer reports,I recently received a copy of my 3 bureus consumer report and I noticed some late payments/inaccurate information posted on my consumer report XXXX  XXXX XXXX Balance Owed : {$1000.00} XXXX XXXX  XXXX Balance Owed : {$3900.00}
Checking or savings account,"PNC makes it next to impossible to link your checking account with any sort of banking app. Anything from pay day loans to XXXX XXXX. After years of service, I will be switching my account to another bank."
"Money transfer, virtual currency, or money service","{$420.00} was sent fraudulently. I contacted my bank and my account was not refunded and my Zelle was closed. 

There was a {$120.00} payment on XX/XX/year> There was a {$300.00} payment on XX/XX/year> I contacted my bank. They refused to refund me and closed my Zelle."
Checking or savings account,"XXXX has placed a block, and I have not been able to open bank account in over 10 years, and this all stated from fraud."
Vehicle loan or lease,we have payed on the car for 3 years and still owe  XXXX  the car is only appraised at  XXXX   thur     XXXX   XXXX     now bridgequest how can they charge so much how can we pay fair market value without putting a bigger ding in our creditt
"Money transfer, virtual currency, or money service","Victim of Bank of America XXXX XXXX to XXXX fraud on XX/XX/2022 for {$3100.00}. 

Bank has not yet refunded money. 

Fraud occurred nearly identically to these reports in the media : XXXX XXXX XXXX XXXX XXXX XXXX"
Checking or savings account,"In XXXX XXXX, I noticed unauthorized fraudulent transactions on my account. Despite reporting the issue, I have been informed that they now plan to close my account. I did not authorize these transactions, and I am working to resolve the situation and prevent further fraudulent activity."
Credit reporting or other personal consumer reports,My personal information was sold and used illegally to a 3rd party company and reported on my credit as a charge off.
Credit reporting or other personal consumer reports,"I am writing to file a formal complaint against XXXX  XXXX XXXX XXXX with the three major credit bureaus regarding a charge-off account issue. Despite attempts to resolve the matter, the three credit bureaus have failed to provide adequate information and assistance regarding my charged-off account."
Checking or savings account,PNC has made a change that limits my ability to connect savings services to my accounts.
Credit card or prepaid card,"XXXX XXXX made illegal purchases on my DiscoverCard totaling {$680.00} from XX/XX/2020 to XX/XX/2020. I do not have the products in hand and never received the service or product. XXXX XXXX scammed, conned, and did dishonest business practices in gouging me out of money."
Credit card,"Ensuring prompt payments on this account has always been my priority, ensuring they never lapse into overdue status. I'm puzzled by the presence of late payment remarks on my accounts. As outlined in 15 USC 1666b - Billing Error, corrections are warranted."
Checking or savings account,"I deposit {$3000.00} to my bank account, and then they closed my account because they were not happy with the transaction, and they didnt give me back my money,"
Checking or savings account,Dispute with my bank has been past XXXX business days & I have not received credit to my account
Debt collection,"There is a bill owed for {$230.00}. Day Knight & Associates are attempting to collect the debt, however they are charging interest and treating to have the client file suit against me and have me to pay for court costs and fees. The interest thus far is {$10.00}."
Credit reporting or other personal consumer reports,"I found out the creditor didn't give the required XXXX notice with a statement. This would've let me pay on time and avoid late fees. This error made it seem like I didn't pay when I should have, which is the creditor 's mistake."
"Money transfer, virtual currency, or money service","Hi I can not get hold of Coinbase who have money of mine, I have emailed 11 times over the last 2 weeks with not one response. I have done everything they instructed but still nothing."
"Credit reporting, credit repair services, or other personal consumer reports",on XX/XX/2022 I received a copy of my consumer reported and noticed this one account which was open fraudulently XXXX XXXX XXXX XXXX ( Original Creditor : XXXX XXXX XXXX ) balance {$1200.00} I have no knowledge of this account and I want it removed immediately.
Checking or savings account,"XXXXXXXX  chase sent me an email informing me that they canceled a restriccin on my account and my funds are now available to use, not true"
"Money transfer, virtual currency, or money service","I am filing a complaint against cash app ( Block , Inc ) due to inadequate customer service and unfair practices, which violate the Consumer Financial Protection Act ( CFPA )"
Credit card,"I've consistently made sure payments are on time for this account, never allowing them to be overdue. I'm uncertain why there are reports of late payment remarks on my accounts. According to 15 USC 1666b - Billing Error, corrections should be made."
Credit card or prepaid card,"I have contacted the creditor/company many times, but they have failed to provide me with necessary documents that will prove this account or debt belongs to me and it has resulted in loss of credit rating."
"Credit reporting, credit repair services, or other personal consumer reports",XX/XX/XXXX XXXX was opened XX/XX/XXXX was last reported balance over XXXX $ Called company RiSE Credit today XX/XX/XXXX they said to file report with ftc.
"Credit reporting, credit repair services, or other personal consumer reports",I have sent a dispute to credit bureaus about a collection ( XXXX XXXX XXXX XXXX ) and I have not received a response back or any results. This charge off account is in litigation.
Credit card or prepaid card,I was reviewing credit card statements and noticed that a XXXX   charge of {$19.00} has been charged every month starting on XX/XX/18 to current. This is a service that I never signed up for!
Debt collection,I was contacted about a debt with XXXX XXXX XXXX regarding an old credit card debt. I ended up paying the debt {$730.00} to get it removed from my credit. Even though they failed to send proof that it was mine.
Credit card or prepaid card,The fact that I always make timely payments on this account is causing me a great deal of XXXX. I have never missed a payment and I am very diligent about it. I kindly request that you update my account immediately and rectify the inaccurate late payment entry.
Credit card or prepaid card,The current issue is causing me significant distress and is having a negative impact on my sleep.
Credit card,"XXXX opened an account with Fortiva without my consent. We were told the fee for the equipment would be added to our XXXX account, and they will be opening a credit card exceeding the card amount, ultimately hurting my credit."
"Money transfer, virtual currency, or money service","On XX/XX/2021 I submitted a wire transfer internationally from my Bank of America Account to my International Savings Account and as of XX/XX/2021 I have not receive my money, the transfer for what I submitted was promise to be delivered on the XXXX of XX/XX/2021."
Checking or savings account,Funds arent able to get deposited from cash app to bank account
Credit card or prepaid card,I am receiving a Six Month Fixed Rate of 8.99 % and then it goes back to Prime + 16.74 % ... I do have a excellent credit score of XXXX ...
"Money transfer, virtual currency, or money service",Scammer on XXXX XXXX  who send fake emails pretending to be Zelle on XX/XX/16 that they as a buyer has send too much money via Zelle and needed the difference send back. Send emails with Zelle logo with fake confirmation they had zelled too much money.
Credit reporting or other personal consumer reports,"By the provisions of the Fair Credit Reporting Act, I am submitting this complaint to request that the listed account which I believe appear to be inaccurate and incomplete be immediately investigated and corrected on my credit file. 

XXXX XXXX XXXXXXXX Balance : {$440.00}."
Checking or savings account,An account was opened at Discover under my name fraudulently. All 3 credit bureaus are locked as well. Not sure how this could have happened.
Credit card,I am a victim of identity theft and fraud. Unfortunately there were several accounts opened up under my name. SYNCB has made a mistake and they have me blocked from opening up accounts with their company.
Credit reporting or other personal consumer reports,a hard inquiry was done on my credit card that i never applied for or submitted to. i called them and they said there was nothing i could do as it was declined but they negatively effected my credit report
Checking or savings account,N/A on my account. Ca n't get into it. Ca n't send money
Credit reporting or other personal consumer reports,"EXPERIAN IS ALLOWING XXXX XXXX TO INACCURATELY REPORT A FRAUDULENT BALANCE OF $ XXXX HAVE REQUESTED THIS COMPANY REMOVE THE ERRONEOUS ACCOUNT FROM MY CREDIT REPORT HOWEVER THEY ARE NOT COMPLYING. THIS INACCURACY HAS CAUSED ME EMOTIONAL DISTRESS, FINANCIAL SETBACKS, AND A VIOLATION OF MY CONSUMER RIGHTS."
Credit card or prepaid card,The fact that I always make timely payments on this account is causing me a great deal of XXXX  I have never missed a payment and I am very diligent about it. I kindly request that you update my account immediately and rectify the inaccurate late payment entry.
Credit card or prepaid card,My account was just unlocked by XXXX last week and then a few days later reliacard actually locked my card. Im not sure why. There was no explanation on why they just did it.
Credit card,"I am deeply concerned about the presence of this late payment on my account, especially considering my consistent track record of making timely payments. Its existence is causing me significant distress, and I implore you to rectify this error promptly by removing it from my account"
"Credit reporting, credit repair services, or other personal consumer reports","I am writing to dispute these fraudulent charges on my account. I am a victim of identity theft, and I did not make this charge. I request that you remove the fraudulent charge and any related finance charges from my account."
Credit reporting,"I did not apply for credit card or anything from XXXX Bank but they made XXXX inquiries on my record. Actually besides XXXX, I have not applied for anything so all the inquiries on my reports should be removed."
Credit card or prepaid card,I was an authorized user of 2 Bank of America Credit Cards. An authorized user is considered a secondary user and is not liable for any balances on the credit card.
"Credit reporting, credit repair services, or other personal consumer reports","Company has deliberately listed my account 30 days late in 2019 when it was not, payment was made XX/XX/XXXX to XXXX balance and company has yet to update report. Requested twice for correct information and company has not updated information to credit agencies hindering mortgage purchase"
Prepaid card,I made a purchase with my cash app from online retail store XXXX on XX/XX/2024 man shorts in the amount of {$89.00} item was received and item was received back from merchant and merchant never refunded my {$89.00} I submitted several disputes to no avail
Checking or savings account,"On XX/XX/19, I discovered fraudulent activity on my account. I called TD Bank customer service and reported it on the same day. However, TD Bank refused to reimburse me for the stolen funds. They have been rude and unyielding in their stance."
Checking or savings account,"Dates : XXXX Actions : HSBC Bank USD , N.A . Close my account"
"Money transfer, virtual currency, or money service",On last year got scammed on unauthorized transaction and Bank of America didnt do the action to refund my money. Any help that can help me for that fraud or unauthorized charge?
Credit card or prepaid card,"I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under USC 1666b. 
See the documents attached."
Credit reporting or other personal consumer reports,I was checking my credit reports and realized that it had fraudulent accounts that I knew nothing about.
Checking or savings account,"Wells Fargo closed my account after they charged XXXX to my account, which put my account in the negative. I still dont no why my account was charged XXXX or why it was closed"
Credit card,"My child use my card at a corner store on XX/XX/XXXX at XXXX and was charged {$190.00} which was the wrong amount. Ive made several attempts to resolve the matter with the merchant, and credit card company."
Debt collection,"After I've made the total balance due amount of {$4200.00} to the creditor, Grant & Weber is still posting {$1800.00} as an collection charge on my XXXX credit report and deny my dispute in multiple times."
Mortgage,I obtained a loan modification from Ocwen. My statement shows that Ocwen took {$1700.00} from my escrow account as a Loan Modification Balance Adjustment. It is my understanding that only taxes and insurance are to be taken from my escrow account. Those payments were also taken out.
Credit card,"Consistently, I've made sure payments on this account are prompt, avoiding any overdue status. I'm uncertain about the reasons for the late payment remarks on my accounts. As per 15 USC 1666b - Billing Error, corrections should be made."
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary XXXX-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
Bank account or service,"For quite some time USAA BANK has operated illegally with debit card issues, credit card issues, banking issues, checking account issues, savings account issues, WORST CUSTOMER SERVICE in the world and BAD FAITH INSURANCE ISSUES. They lie cheat and steal and overall are nothing more than immoral consumer haters."
Credit card or prepaid card,I can't even sleep properly because of this problem. I am begging you to update my account as soon as possible.
Checking or savings account,My social was stolen from a government agency. Alot of account were open that dont belong to me.
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Debt collection,"received letter ( attached ) which failed to provide balance details. 

I have proof ( paperwork ) that I paid my toll balance on XX/XX/XXXX  which only showed an outstanding balance of XXXX."
Credit card or prepaid card,"I had recently discovered my information was used to open a CapitalOne CreditCard account, which i never opened or gave anyone permission to open. I contacted CapitalOne and they removed the account from my credit files, but i believe that the account is still in bad standing with CapitalOne."
Credit card or prepaid card,Hey Ive received a letter XX/XX/2020 saying that I will receive payment by prepaid debit card. But I never received any prepaid card from the government and I need to know why not.
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Credit card or prepaid card,"It is truly absurd to witness late payments reflected on my account, as I have consistently paid this account on time without any instances of being late."
"Money transfer, virtual currency, or money service",It kept on saying I owe large amounts of money and kept trying to take it out my account once I had the funds it took some of the funds
Credit card or prepaid card,"It is truly absurd to witness late payments reflected on my account, as I have consistently paid this account on time without any instances of being late."
"Credit reporting, credit repair services, or other personal consumer reports","Add to complaint id # XXXX XXXX XXXX proceeded to close both accounts, but the balance still remains on my fico report without my authorization. This is fraud and according to the FDCPA FCRA & TILA laws and regulations both accounts balances should be immediately removed."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX and XXXX XXXX XXXX XXXX are currently double reporting on my credit file. Also, this should NOT be reporting as a charge off. This is in clear VIOLATION of the FCRA."
Checking or savings account,I had my card lost and my wallet missing and I have filed for fraud and Bank of America denied it
Credit card,"It feels unjust that despite my consistent track record of on-time payments for this account, I find myself in this predicament. I urge you to rectify my account promptly to ensure its accurate representation."
Credit reporting or other personal consumer reports,"Acct # XXXX This account has been charged off, account also states profit loss write off it should not be reporting with a balance this is a clear violation of the fair credit act."
Credit card or prepaid card,I have a promotional rate and not able to make payments right now due to COVID-19. Discover does not want to defer the XX/XX/2020 payment.
Credit card,i made XXXX purchases at XXXX and the XXXX purchase is fraudulent the clerk used my card fraud and i disputed and bank of america keeps charging me for this in violation of the fcba this has been going on for 5 mos now
Credit card or prepaid card,"I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under USC 1666b. 
See the documents attached."
"Payday loan, title loan, or personal loan",Im struggling to pay the $ XXXX payment every two weeks with the interest rate 229 %
"Credit reporting, credit repair services, or other personal consumer reports",My credit card company says that I was late on a payment but I was not based on records.
Checking or savings account,Several Overdraft fees of {$35.00} each. Bank of America. Also charging fees of up to {$8.00} to see my balance on the atm when the mobile app was down.
"Money transfer, virtual currency, or money service",The PayPal permanently ban my account and preventing me to withdraw my remaining balance without telling me any valid reason. I hope you can help me with this.
"Credit reporting, credit repair services, or other personal consumer reports","The information is not information relating to any transaction by the consumer/creditor. I've been a victim of identity theft and did not make the charge. The item listed should be blocked, removed and suppressed for this is fraudulent and inaccurate. Fraudulent Account : XXXX XXXX XX/XX/2015 {$0.00}."
Credit card or prepaid card,"I'm having difficulty accepting this issue and it's affecting my ability to sleep. I urge you to update my account immediately as I have always made timely payments, and this is causing me a lot of XXXX"
Checking or savings account,"I noticed several overdraft fees on my navyfederal checking account while I was in service ( navy ) and could never get a reimbursement. Now realizing that was illegal, I would like to file a complaint against it."
"Credit reporting, credit repair services, or other personal consumer reports",I did not applied for a student loan with Sallie Mae. In XXXX of 2022 I receieved a statement from Sallie Mae and reported the fraud. I did not authorize them to pull my credit nor did I co-sign on any student loans.
Credit card,Finco services/ current bank was alerted that I received a fraudulent transaction from XXXX XXXX and requested to freeze my account. They froze all accounts except the one that XXXX took from and didn't even try to get me a refund after I asked.
Credit reporting or other personal consumer reports,Upon checking my credit report I have discovered a few fraudulent hard inquiries they are XXXX XXXX XXXX XXXXXX/XX/year> | XXXX XXXX XXXX XX/XX/year> | XXXX XXXX XXXX XX/XX/year>. Please remove from my credit report.
Checking or savings account,My direct deposit from my employer is being held by the bank. They will not give me my paycheck
"Credit reporting, credit repair services, or other personal consumer reports","While checking my latest credit report, I have noticed several credit inquiries from XXXX and XXXX of 2020 which were never authorized by me and I have never applied for these accounts."
Checking or savings account,My account was suddenly cash account was closed with no warning or explanation of why I have XXXX in savings they were supposed to mail me a paper check I have been emailing them since XX/XX/XXXX they dont respond and have not mailed me my check
"Credit reporting, credit repair services, or other personal consumer reports",XXXX  has been notified of my incorrect account balance for a XXXX account which should be showing XXXX
"Money transfer, virtual currency, or money service","On Friday, XX/XX/2020, I tried to link my PNC Bank account with XXXX and it didn't allow me to."
"Credit reporting, credit repair services, or other personal consumer reports","On multiple attempts there has been written notices for verification and validation of the debt and alleged account. The creditor Americollect Inc. jas 2 different reporting inquiries for the following alleged account ( s ) : XXXX, XXXX for an alleged balance of {$660.00}, {$660.00}."
Credit card or prepaid card,"this issue on my credit has occurred, credit card acct. # XXXX with a past due balance of XXXX dollars... i never authorized this account this is fraud.."
"Money transfer, virtual currency, or money service","I am writing to formally express my concern regarding Zelles handling of disputes, particularly in light of of the recent CFPB lawsuit highlighting significant issues with the platform."
Credit card or prepaid card,Discover Card charges a 29.99 % interest rate. This is a usury rate. It discriminates against seniors that are on fixed income. Arizona law is a 10 % interest rate.
Credit card or prepaid card,I did not open this account
Checking or savings account,I have provided this information multiple times.
"Money transfer, virtual currency, or money service","Cash App $ XXXX amount {$920.00} for rent. Kicked out after sending. 

Cash App wont help and uses the XXXX copypasta. 

Being homeless is no joke. And Square is protecting the scammers. 

I want my money NOW. 

Filed a dispute with my bank too because the funds are important."
Credit reporting or other personal consumer reports,"I received a telephone call asking me if I applied for a XXXX XXXX Credit Card on XX/XX/XXXX. After reviewing my Transunion Credit Report, I also see other inquiries I did not authorize : XXXX XXXX  Credit Card on XX/XX/XXXXXXXX XXXX XXXXXXXX inquiry for XX/XX/XXXX XXXX Card XX/XX/XXXX"
Credit reporting or other personal consumer reports,Transunion is still showing XXXXXXXX XXXX  on my credit report its been on my report for 10 plus years my balance was paid in full but they will not remove it also called alloy to have this acct deleted also
"Credit reporting, credit repair services, or other personal consumer reports","XX/XX/18 Cap One made an unauthorized fraudulent hard inquiry to my XXXX  report. Attaching my victim statement/police report for identity theft. XXXX  instructed me to contact each company making fraudulent inquiry, individually."
Credit card or prepaid card,I noticed my account was recently closed with no explanation. I Make all my payments on time and been a valued customer for years.
Credit card,"I respectfully seek your comprehension regarding the late remarks on my report, and I am fully dedicated to resolving them as per our agreement. My goal is to eliminate all the late remarks from my report, and I am enthusiastic about upholding a favorable record with your organization."
Mortgage,Citibank On disclosure its marked no prepayment penalty but deeper in the document is a paragraph with Early Closure Release Fee so the charged us a fee of {$670.00} So if no prepayment penalty why a early closure fee?
Credit card,"I have always ensured payments on this account are made promptly, avoiding any overdue status. I'm uncertain about the reasons behind reports of late payment remarks on my accounts. Under 15 USC 1666b, billing errors should be addressed."
"Money transfer, virtual currency, or money service",Large amount of money went in my account and came out by wire transfer. And they are holding XXXX since XX/XX/2022 2022
Credit card or prepaid card,company refuses to permanently reverse reported fraud charges even though informed fraud accounts opened under name and identity theft report completed
Credit reporting or other personal consumer reports,"A derogatory rating on my account has already caused tangible financial damage, including a denied loan application and increased interest rates on existing credit accounts. This negative rating has inflicted significant financial and emotional distress, threatening my economic stability and future opportunities."
Credit card or prepaid card,Received credit card from Chime in mail that I never applied for.
Credit reporting,"XXXX XXXX XXXX, XXXX does not have a XXXX XXXX XXXX credit card and he has not lived a XXXX XXXX, XXXX, AL. Would appreciate having this corrected. Look forward to hearing regarding this correction."
Debt collection,"Pressler and Pressler, LLP of XXXX, NJ is a debt collector/law firm, they buy up credit card debt for pennies on the dollar and than file in superior court and have he constable serve you with out trying to pay."
Debt collection,Wakefield closed a previous case stating that they requested to the bureaus to remove the item from credit report that they are reporting however after over a week of checking and calling NO SUCH THING HAS BEEN DONE. They lied and did not remove it.
Debt collection,"On XXXX/XXXX/XXXX, I had an amount of {$170.00} taken out of my account by XXXX XXXX XXXX. I called them to have the charge reversed, but they threatened legal action over an overdue payment of {$250.00}. They threatened to have papers served and to have me charged with fraud."
Debt collection,I lived at XXXX XXXX and they used the company I.Q. Data International Inc.  I have already paid the debt but they charged me interest which is illegal considering it wasnt past due or a bill that can be charged interest.
Credit reporting or other personal consumer reports,"PLEASE SEE ATTACHED DOCUMENTS INCLUDED WITH MY FTC REPORT XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX XXXXXXXX XXXX Balance : {$1400.00} XXXX XXXX Balance : {$0.00}"
Credit card or prepaid card,Bank of America credit card fee. Tried to call to cancel card before annual fee was deducted. Was on hold for 30 minutes. After 30 minutes had to go on with my life. Called back next day and fee was charged and Bank of America refused to refund fee.
Debt collection,Creditor contacted XX/XX/2022. Amount listed owed on credit report is the wrong amount ; entered into an agreement on a lower amount with two payments made in XX/XX/2022 ( {$49.00} and {$50.00} ). Current balance is {$590.00}
Checking or savings account,Navy Federal charged me overdraft fees knowing there wasnt money in the account.
"Money transfer, virtual currency, or money service",MoneyLion will not allow me to transfer XXXX dollars to my XXXX   because they have XXXX extra balance requirement which is wrong!
Bank account or service,"Chase suddenly charged us a {$20.00} service fee for our checking account. We have had this checking account for 10 years. When called and questioned, a Chase representative finally advised that we will be charged a service charge since we paid off our mortgage."
Credit reporting,I disputed XXXX XXXX from my TransUnion credit report I believe XX/XX/2015 and the item was deleted. I am now checking my report report from XXXX XXXX and this creditor is reporting back on TransUnion once again.
"Money transfer, virtual currency, or money service","The most recent correspondence filed with the customer Relations. Used name, date of birth/State file number and Social SecurityXXXX XXXX XXXX account XXXX XXXX to obtain an account with Ford Credit, and the information reporting on your credit report is incorrect."
Checking or savings account,{$140.00}.. I have photos of my checking account which is the most pertinent information / document thats needed. They have a transaction processing as of yesterday morning at XXXX am but are saying the found are in my account when they arent!!!
Checking or savings account,"In 2017, BECU has had countless planned and unplanned outages with the banking platform. Outages that have included that inability to use a debit card. The outages impact areas like reviewing accounts, transferring funds, paying bills, paying for groceries, and so on."
Checking or savings account,I open an account online and they froze my account then they unlocked it then I deposited more money and then I ordered a debit card and then I tried to use the debit card and it was declined now they want me to identify myself
"Money transfer, virtual currency, or money service","I am writing to report issues regarding unauthorized charges on my Zelle account and to request assistance with canceling a pending payment. Additionally, I have initiated payments but I would have liked to cancel the payment as it was made in error."
Credit card or prepaid card,"This situation is impacting my sleep and overall well-being, and I find it difficult to come to terms with it. I earnestly implore you to take swift action to address this matter."
Credit card,Capital one Charged off {$3400.00} and then garnished my paycheck written {$2600.00} past due as of XXXX and i was never issued a XXXX
Credit card,"I got denied credit for chase freedom credit card, because they said i had too many accounts open or too many loans and thats inaccurate, somebody must be using my information"
Checking or savings account,"I was offered a job, then sent a check to buy equipment, told to transfer the money and once I did they bounced the check and the bank took the money from my account."
Credit card or prepaid card,Bank of America lawsuit. Bank of America open a fraudulent Bank credit card in NY name with out me knowing it. This is the same process that the OCC just fined the Bank of America for fraudulent account fraud.
"Money transfer, virtual currency, or money service",Ingo completed and approved my check threw my XXXX  card app and has tried multiple times to fund my account and XXXX  hasn't giving me the funds for the voided check
Checking or savings account,"ThereisnoevidenceofthevalidityoftheXXXXtransactions.CharlesSchwabmadethisdecisionpurelyoncircumstantialevidence.ThevendorfortheXXXXchargecannotbecontactedtoprovideproofofthetransaction,suchasasignatureauthorizationonareceiptthereforethistransactionisunauthorizedandfraudulent.CharlesSchwabstaffpresumptuouslyallegedthiswasrelatedtoagentlemansclub.

AccordingtotheFederalTradeCommission,Ifsomeonemakesunauthorizedtransactionswithyourdebitcardnumber,butyourcardisnotlost,youarenotliableforthosetransactionsifyoureportthemwithin60daysofyourstatementbeingsenttoyou.

ItookallnecessaryactionpursuanttofederallawandCharlesSchwabpolicytocomplywithreportingandcontactedCharlesSchwabimmediatelyafteridentifyingtheidentitytheftandfraudulentactivity.CharlesSchwabhasaresponsibilitytoreplacethelostfunds.

XX/XX/2018XXXXXXXXXXXX,#XXXX{$620.00}"
Checking or savings account,I requested a wire be sent ( {$950.00} ) on XX/XX/XXXX. It was not sent. I was not told why. I asked for the fee to refunded. I was told no and not giving a reason why.
Credit card,My capital one credit cars states that they share your personal data to non party affiliates withoughr my consent.
Credit reporting,"All the information in attached file, shown "" Unknown ''. 
Creditor : Unknown Type : Collection Balance {$290.00} Payments : N/A, none or Not available If that collection is mine, I need to information to pay it."
Credit card,"Take a look at the attached documents. I want the bureau to start an investigation into these accounts, as I am consistently on time, yet they are being reported as late."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX/XXXX # XXXX is reporting an account with a balance to my credit report that should not be on there. This account is completely paid off but is still reporting a balance, it is in violation and needs to be removed."
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
"Credit reporting, credit repair services, or other personal consumer reports",Capital One credit card paid off as soon as I got unemployment from the Covid epidemic Capital One Sold my debt apparently according to credit report Also this was all during Covid epidemic
"Money transfer, virtual currency, or money service","My money is disappearing off of my Cash app, my cash app has shut down and took all the money off"
Checking or savings account,"Navy Federal intentionally reduces your account balance. There is an extreme delay in the post, and payments are never chronologically withdrawn."
"Money transfer, virtual currency, or money service",I am filing a complaint against Cash app ( block inc ) for failure to provide adequate customer service which violates the consumer financial protection act
Credit card,"According to the fair credit report Act, section 605B it is illegal to report information on my credit report without permission thank you please remove this off of my credit report."
"Money transfer, virtual currency, or money service",XXXX was negligent because they didn't have consumer protection warnings in place and I was put at a major risk to lose my money because they didn't do their due diligence. This violated the Electronic Transfer Act. According to FDIC they aren't in compliance.
Credit reporting or other personal consumer reports,The balance for my total card is incorrect for account ending in XXXX
Mortgage,Company refuses to withdraw PMI from our mortgage even though the numbers are correct to drop it.
Checking or savings account,XXXX / XXXX / 2017  over {$200.00} taken in fees due to the order that the bank posted deposits last.
Credit card,I asked who requested to close my account because I received a letter from Synchrony bank saying I requested it. Syncrony bank never received a request from me. They did however respond to a third party acting on my behalf.
Credit reporting or other personal consumer reports,"Do to the one time a year free credit report from Experian. I was charged a fee. Which I see charges of fraud, false advertisement and misrepresented. To an American tax payer. Thank you"
Credit card or prepaid card,"Fraudulent charges on my Banana Republic store credit card Only half of my initial dispute has been resolved. They are still claiming an outstanding amount due. 

This has been going on since XX/XX/XXXX of 2019"
"Credit reporting, credit repair services, or other personal consumer reports",Just received an alert from XXXX that might credit score dropped significantly due to Capital One inaccurately reporting that my credit card is maxed out when it currently has a positive balance of {$450.00}. This needs to be updated immediately
Credit card or prepaid card,"I want this late payment deleted from my account within 15 days, this is not mine, I'm not aware of this, Under USC 1666b. 
See the documents attached."
Checking or savings account,They did and got it wisely and Im getting lawyer the company its wisely
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
"Credit reporting, credit repair services, or other personal consumer reports","Please remove my extended fraud alert, consumer statement and security freeze."
Checking or savings account,Deposited two separate tuition checks. Bank placed a hold for 5 business days. Check is local and they made no funds available. Ive been banking with them for over 10 years.
Checking or savings account,Had problems with withdrawing and I had no idea who the person was and they couldnt stop payment dont have any idea when but I did notify them to let them know that I had no idea who that company was but I dont recall getting my money back
Debt collection,Opened the account in XXXX for the XXXXXXXX XXXX XXXX XXXX XXXX XXXX. Paid off balance owed and they still have a balance on my credit profiles of {$210.00}.
Checking or savings account,BofA is failing to honor its promise to provide a {$350.00} bonus if I open a checking account and direct deposit {$4000.00} within 90 days. I've called with no success. why do they market these promotions to lure us and then fail to fulfill their promise?
Credit reporting or other personal consumer reports,XXXX XXXX 1666b a creditor may not treat a payment on a credit card account under an open-end A consumer credit plan as late for any purpose FDCPA 807 False misleading information FDCPA 8012 furnishing deceptive forms must remove late payments under CARES XXXX XXXX
Credit card,My wallet was stolen and used to open a false credit card under my name. I have reported this to chase but nothing has been done and they are refusing to provide me with the transactions and charges.
"Credit reporting, credit repair services, or other personal consumer reports",I was checking my credit report and I saw that my credit score is low. I don't understand why you put this information on my account. I'm shocked! What do I have to do right now?/
"Credit reporting, credit repair services, or other personal consumer reports","I have 4 Authorized Credit card. XXXX is the only credit report they dont have it. 

Thank you"
Credit card,Comenity bank will not credit my payments to account.. I want them to credit my payments so I can close account
